Time_s,Ground_Truth,Classical_Sensor_Steps_1_2,Quantum_Sensor_Steps_1_2,Classical_w_Env_Step_3,Quantum_w_Env_Step_3,Classical_ADC_SAR_Step_4,Quantum_ADC_DS_Step_4
2.679,1.01369054608842,1.07445730988405,1.00308082081478,1.09979552990214,1.03849526323624,3.3,3.29999999999999
2.68,1.00994921504348,1.03922568350215,1.0122415185378,1.06349693698319,1.04842415618484,3.3,3.29999999999999
2.681,1.00322899106961,1.01823549300176,1.05010581180744,1.04198761007819,1.08476108388453,3.3,3.29999999999999
2.682,0.993447381289463,0.979046624475338,0.994588784030895,1.00088243377688,1.03589465499141,3.3,3.29999999999999
2.683,0.980536683696806,0.963623148602924,0.996576233213468,0.983352383520453,1.03125379910187,3.3,3.29999999999999
2.684,0.964444493518364,0.942754451205608,1.04992583892354,0.965867657090552,1.08241322888207,3.3,3.29999999999999
2.685,0.945134125103901,0.964795836500692,0.974219400342151,0.989982427863523,1.01101064664325,3.3,3.29999999999999
2.686,0.922584946825088,0.84805146240705,0.949471838833219,0.872305210892061,0.986896023662774,3.3,3.29999999999999
2.687,0.896792626955087,0.903391309136752,0.928925783079306,0.927096926379614,0.964745571259985,3.29969004182871,3.29999999999999
2.688,0.867769289004984,0.894928227143795,0.836243368717422,0.91532239728458,0.872052321002802,3.29978933202457,3.29999999999999
2.689,0.835543575505308,0.862442414286333,0.90948977982267,0.888797223787929,0.950330679442368,3.3,3.29999999999999
2.69,0.800160619739317,0.911744486352063,0.7336494945226,2.63900101072777,0.771112147119216,3.29991814437103,3.29999999999999
2.691,0.761681925455876,0.703776010807854,0.805287386351034,0.730502960477408,0.842522033706524,3.29976207619222,3.29999999999999
2.692,0.720185155111299,0.665948870753732,0.695593326745816,0.690137682976055,0.732174902375969,3.29981139611352,3.29999999999999
2.693,0.675763827707025,0.730512403140184,0.587406529034784,0.753011237371023,0.622244185329936,3.2987931531418,3.29999999999999
2.694,0.628526927803229,0.606751965300011,0.559268279788845,0.631762444752703,0.595766815336331,3.29896299394538,3.29999999999999
2.695,0.578598427791278,0.651480130704686,0.545240918187132,0.672371857435907,0.582442349254441,3.29854541433937,3.29999999999999
2.696,0.526116725999765,0.518182755621076,0.469104639846405,0.543763546866963,0.503172834107217,3.2974582008338,3.29999999999999
2.697,0.471234003686594,0.457328012619006,0.42162948044064,0.481975506260046,0.462497604729341,3.29567349286059,3.29999999999999
2.698,0.414115504428777,0.429269923651311,0.367740951406155,0.452775180209299,0.406088199331075,3.29010803028759,3.29999999999999
2.699,0.354938739862896,0.402950353531868,0.397343078871538,0.42838314578517,0.43190540884371,3.28176007375286,3.29999999999999
